area_sqft,bedrooms,bathrooms,location,age_years,price
2291.6,1,2,Riverside,17,594171.07
1587.8,2,1,Riverside,58,439476.02
1515.9,5,4,Old Town,37,560518.45
3025.5,4,4,Riverside,4,893210.7
3061.8,5,3,Old Town,56,755007.82
2110.2,4,4,Suburban,8,725648.21
2008.4,4,4,Riverside,35,694513.97
2930.7,2,4,Downtown,47,772033.21
1646.5,1,3,Riverside,14,441963.85
1752.6,1,1,Downtown,16,535815.84
2521.7,2,1,Riverside,28,646880.41
2002.7,1,1,Suburban,53,437844.94
2197.4,3,2,Downtown,13,663715.01
2118.3,4,3,Downtown,39,629463.36
2368.8,5,2,Riverside,27,694965.3
2903.7,3,1,Old Town,6,708960.91
2245.3,5,1,Downtown,42,742889.47
2522.0,5,4,Riverside,49,761574.36
1174.9,5,4,Suburban,34,581293.06
2175.6,3,2,Old Town,10,598082.7
1778.4,2,4,Riverside,9,606227.18
1590.6,5,3,Old Town,25,585651.0
1760.9,2,4,Suburban,30,595888.55
2032.9,3,4,Downtown,33,649936.44
2658.0,1,3,Riverside,14,625730.1
1536.8,4,2,Hillcrest,30,525346.69
2215.3,4,3,Old Town,17,657081.73
1957.9,1,2,Old Town,41,423262.35
2036.2,2,2,Old Town,47,531517.9
2701.4,3,3,Hillcrest,39,750817.48
2469.1,3,3,Suburban,0,829414.65
2868.7,5,3,Riverside,59,743057.25
2122.7,2,2,Downtown,1,649039.82
1852.0,5,2,Riverside,59,559447.04
2088.1,3,1,Suburban,1,594916.65
2321.2,5,3,Downtown,30,777481.49
2288.3,2,3,Suburban,6,566676.75
1657.8,1,4,Riverside,5,553878.12
2245.2,1,3,Suburban,41,651060.38
2314.1,2,2,Old Town,43,551803.02
3458.7,5,1,Riverside,7,941564.98
3138.4,1,1,Old Town,58,681312.88
1773.4,2,2,Hillcrest,19,559849.96
2056.3,1,2,Downtown,19,549097.09
1468.3,5,2,Suburban,17,487860.76
1904.6,4,2,Hillcrest,27,676076.0
2357.8,4,4,Riverside,10,764877.71
2802.9,4,1,Suburban,25,709019.47
1835.5,4,2,Riverside,12,628046.32
1872.9,4,1,Old Town,3,560179.61
1126.4,1,2,Suburban,22,350206.94
2118.7,5,3,Downtown,40,747611.71
1668.8,4,1,Suburban,45,467847.41
1935.3,4,2,Old Town,21,640043.06
1761.6,2,1,Hillcrest,19,483375.08
2152.9,5,4,Old Town,47,664608.31
1321.1,2,3,Old Town,40,496722.29
1466.5,1,1,Downtown,49,450260.12
3264.6,5,1,Suburban,54,836736.4
1556.3,2,1,Downtown,49,418710.76
1651.6,1,2,Downtown,56,433918.41
3118.5,4,4,Old Town,24,860453.23
3652.5,2,3,Old Town,23,861356.97
1614.2,5,4,Downtown,19,679124.17
2015.9,3,2,Hillcrest,14,649824.29
2370.8,1,2,Riverside,44,567365.0
3064.3,5,2,Downtown,42,808503.64
1706.6,3,1,Old Town,48,443922.43
2077.4,2,4,Old Town,10,653509.96
2588.7,4,1,Riverside,29,658427.01
2417.4,3,2,Hillcrest,13,716946.73
2011.9,1,3,Suburban,53,485755.8
2133.1,4,1,Hillcrest,16,684209.95
1512.6,3,2,Riverside,8,519114.05
2080.9,4,2,Old Town,34,667860.11
2066.8,5,2,Downtown,52,694888.45
2316.1,4,1,Downtown,54,604623.16
1922.3,4,1,Old Town,5,616869.67
2435.8,2,1,Suburban,19,589652.39
2706.4,2,2,Suburban,9,683264.57
2277.7,3,1,Hillcrest,18,680941.4
2375.9,5,4,Downtown,32,784588.18
2226.6,3,1,Riverside,16,664298.21
2200.0,2,3,Suburban,4,615227.19
1839.2,4,3,Downtown,30,625301.91
2358.2,5,2,Old Town,3,704629.65
2151.4,5,4,Downtown,13,764018.66
3246.6,2,1,Downtown,0,863352.81
2986.7,4,1,Hillcrest,5,871753.79
2392.9,3,2,Old Town,26,707923.95
1818.5,3,1,Downtown,51,626830.62
1643.8,2,2,Hillcrest,46,469454.29
2795.6,1,2,Riverside,5,702019.63
2331.4,2,4,Old Town,2,625199.42
2440.1,3,2,Downtown,20,679108.67
1327.7,5,4,Old Town,39,526983.96
2663.7,5,4,Hillcrest,44,809383.27
2427.2,1,4,Old Town,49,556022.34
1644.8,4,1,Suburban,20,541289.86
1964.2,1,4,Old Town,10,512894.03
2331.9,4,3,Hillcrest,1,817219.63
2226.2,2,4,Downtown,8,664411.87
2053.9,3,2,Old Town,3,718487.35
2148.3,4,4,Hillcrest,51,697430.68
2074.0,3,3,Suburban,16,647002.74
2276.3,5,1,Riverside,49,616116.98
2935.7,3,2,Suburban,33,822077.95
916.7,5,1,Riverside,32,488380.77
2081.6,4,4,Old Town,27,679160.11
2288.3,2,2,Old Town,49,504214.02
2348.0,4,1,Suburban,2,703666.13
2014.0,3,3,Old Town,5,576670.45
1321.6,3,2,Riverside,25,538389.25
2364.0,1,1,Hillcrest,23,640287.38
3063.7,1,4,Hillcrest,32,801879.08
1433.1,3,4,Riverside,44,429697.45
2631.9,1,3,Riverside,35,619407.88
2035.7,5,3,Riverside,15,742943.18
2169.3,5,2,Old Town,19,726196.16
1673.6,4,3,Suburban,45,616605.93
2032.8,4,3,Suburban,12,612818.42
2850.0,3,1,Suburban,30,729066.11
2491.3,1,1,Downtown,32,650659.58
3066.2,2,2,Suburban,45,661574.62
2788.7,3,2,Downtown,42,746250.89
2419.5,5,1,Downtown,27,754071.5
3072.0,2,1,Hillcrest,18,764323.52
2419.5,3,4,Downtown,22,680022.91
2614.0,2,2,Riverside,24,665691.01
2051.7,1,3,Hillcrest,13,600616.4
2233.3,1,3,Hillcrest,37,611666.23
1851.3,2,3,Riverside,12,558293.0
2694.8,1,3,Downtown,38,671742.07
1610.8,1,2,Old Town,45,404364.42
2591.2,2,4,Old Town,57,670709.72
2104.7,2,2,Hillcrest,7,628264.33
2785.6,3,4,Downtown,45,776026.28
2575.4,1,2,Downtown,5,686272.37
3110.3,2,1,Suburban,20,664021.52
2565.4,3,4,Downtown,10,813851.13
1414.0,5,1,Old Town,9,528693.85
2166.5,4,4,Suburban,10,729561.96
1614.0,5,1,Suburban,2,636548.72
1940.9,2,1,Old Town,49,392442.19
2955.6,3,3,Old Town,3,714457.2
2518.8,3,4,Suburban,23,751730.2
1850.5,5,2,Suburban,41,618611.59
1693.1,5,1,Riverside,59,557772.51
2216.4,5,1,Hillcrest,51,669265.31
1591.7,4,4,Old Town,8,628483.73
1864.4,3,3,Old Town,59,567102.93
2356.0,3,1,Old Town,39,611640.14
2777.7,5,2,Downtown,10,842544.94
2504.4,2,2,Suburban,26,565280.96
1054.4,2,1,Riverside,55,366553.39
2352.2,5,4,Downtown,23,859662.15
2236.0,2,3,Suburban,11,670065.36
2406.9,2,1,Downtown,52,570664.43
3008.1,3,3,Old Town,57,765010.65
1168.4,2,2,Downtown,58,435129.74
1904.4,5,1,Downtown,57,676753.34
2495.5,5,2,Downtown,52,716737.17
1409.2,2,1,Downtown,27,447198.32
2938.0,3,1,Riverside,11,792526.3
2384.2,5,4,Suburban,37,772048.5
2623.3,4,3,Old Town,13,711899.45
1914.5,2,1,Suburban,28,532599.72
2606.9,3,4,Riverside,39,767585.2
2734.2,4,3,Hillcrest,56,793480.96
2316.4,4,4,Hillcrest,17,795342.42
2317.2,1,3,Hillcrest,15,648747.84
2335.2,2,2,Suburban,44,656662.05
1768.3,5,3,Riverside,0,649271.24
2126.2,2,3,Old Town,33,549629.59
2123.7,2,3,Old Town,44,559912.39
2391.7,2,1,Hillcrest,33,671063.61
2699.9,1,2,Hillcrest,23,633489.26
1670.7,1,1,Old Town,49,334519.88
2137.5,2,2,Hillcrest,22,546840.05
2940.7,5,1,Old Town,42,765238.81
1828.2,1,1,Downtown,27,451944.83
1788.9,2,4,Suburban,1,585415.49
2301.2,1,1,Downtown,31,603462.68
2622.2,3,4,Downtown,2,788932.96
2205.7,2,1,Riverside,55,552279.63
2864.5,4,4,Suburban,36,810432.94
2628.4,3,2,Riverside,22,745596.03
2620.9,4,3,Riverside,29,787968.93
2477.1,4,2,Hillcrest,37,713793.14
3363.8,3,2,Old Town,15,820742.71
2097.4,5,2,Old Town,17,708885.18
1198.2,3,3,Suburban,25,491418.07
3002.1,5,2,Suburban,15,801504.41
1971.2,5,3,Hillcrest,45,727031.77
2253.9,3,4,Downtown,6,700124.82
2854.8,4,2,Riverside,49,818560.08
1398.9,2,2,Riverside,20,505760.59
1574.2,5,1,Downtown,33,595347.17
1399.4,4,2,Hillcrest,9,587374.3
1802.9,5,1,Suburban,23,598566.44
2419.8,2,1,Downtown,45,643708.25
2462.1,4,4,Hillcrest,16,799145.78
2338.1,3,1,Downtown,7,691887.47
1493.6,1,2,Hillcrest,31,501528.45
1044.9,1,4,Downtown,9,429818.43
2227.2,3,4,Riverside,18,676644.11
1964.1,2,1,Old Town,27,453365.54
2429.7,1,1,Suburban,33,525165.81
2551.0,3,2,Hillcrest,38,645440.01
2269.1,4,3,Hillcrest,40,754634.88
2580.1,2,4,Old Town,50,731768.56
2314.6,5,1,Downtown,3,810042.18
2465.0,4,1,Hillcrest,21,668462.44
1847.7,3,2,Old Town,0,601573.59
2110.2,5,4,Hillcrest,0,861719.23
2298.4,3,1,Downtown,12,651037.45
2610.3,1,2,Old Town,35,601905.46
2003.1,1,1,Downtown,53,416647.57
2460.6,5,1,Riverside,46,715374.5
2067.1,5,4,Riverside,38,675932.12
2141.2,4,1,Riverside,46,620206.61
2614.8,1,2,Riverside,10,598208.6
1203.5,2,4,Downtown,50,488338.9
1551.8,1,3,Riverside,53,483698.0
1458.9,1,1,Old Town,5,370276.12
1033.2,2,2,Riverside,28,343897.65
1860.9,3,4,Suburban,49,504915.28
2574.7,1,2,Old Town,28,589192.51
2057.6,5,3,Downtown,50,677096.68
2298.9,3,3,Riverside,56,581560.33
2744.6,2,3,Riverside,28,740550.32
2863.8,3,1,Riverside,3,740892.94
2165.4,4,4,Old Town,20,647748.15
2876.8,2,4,Riverside,12,768239.83
2246.1,1,1,Old Town,28,558543.58
1781.3,1,4,Downtown,35,577751.64
1902.8,5,4,Hillcrest,27,729902.93
1459.7,1,3,Riverside,11,501315.91
1755.9,4,2,Suburban,18,548031.47
2021.0,2,2,Suburban,40,547073.3
2601.8,4,4,Hillcrest,1,863015.54
3060.4,1,1,Hillcrest,12,727675.82
1508.9,5,4,Hillcrest,53,650422.0
2396.4,4,4,Downtown,5,774137.13
1679.7,3,3,Riverside,24,590943.87
2437.3,2,2,Old Town,12,651397.09
2134.5,5,3,Downtown,6,650315.81
1284.5,2,1,Riverside,25,460830.7
2664.1,3,4,Riverside,31,642441.43
1897.5,2,2,Old Town,10,509907.97
1933.0,2,1,Suburban,4,589162.9
1665.1,3,4,Riverside,8,599430.81
1872.9,1,3,Hillcrest,39,491667.07
2413.9,1,3,Downtown,51,579560.66
2105.4,2,1,Old Town,10,588044.24
2364.3,1,4,Old Town,19,545919.4
2381.0,3,3,Hillcrest,20,779732.61
2860.3,5,4,Hillcrest,21,912455.47
2028.6,1,4,Hillcrest,14,585653.43
1461.6,1,1,Hillcrest,3,446158.19
2733.6,1,1,Old Town,31,559161.04
2034.3,3,4,Riverside,21,697615.07
2757.3,2,3,Riverside,20,763610.43
2391.7,3,2,Hillcrest,15,648737.49
2134.4,1,2,Downtown,55,527053.94
2374.4,2,3,Old Town,36,579662.4
3175.5,3,4,Hillcrest,25,948331.53
3238.5,3,1,Hillcrest,12,794524.28
2234.7,3,3,Suburban,48,698813.47
2280.1,4,4,Suburban,53,695485.36
2738.1,3,2,Riverside,1,717184.24
1777.2,5,2,Hillcrest,55,601799.54
2366.5,3,4,Hillcrest,41,699711.58
2187.1,2,1,Hillcrest,5,581687.61
2357.0,2,2,Old Town,45,579044.81
1783.3,2,2,Old Town,6,469680.19
1405.2,3,4,Hillcrest,3,517124.28
1163.5,2,1,Suburban,6,392044.43
1641.3,5,2,Riverside,27,532921.18
1970.7,3,1,Riverside,37,527232.79
2053.4,5,4,Hillcrest,24,729448.64
3168.6,4,3,Old Town,7,827102.16
2753.0,2,2,Suburban,11,792377.93
1719.0,2,2,Riverside,51,487468.26
2373.9,4,1,Downtown,57,673708.6
1996.5,2,4,Hillcrest,45,554307.03
2057.8,2,3,Riverside,6,599048.73
2292.7,5,2,Riverside,49,704491.41
2509.6,3,2,Riverside,41,633544.24
2030.4,1,3,Suburban,31,584589.25
2731.9,3,3,Riverside,8,731038.77
1629.0,3,2,Hillcrest,59,515970.91
2203.2,5,2,Suburban,26,676928.45
3498.8,4,3,Downtown,2,988963.46
2311.5,1,3,Suburban,12,596057.57
2916.6,1,3,Downtown,24,735353.56
2245.8,4,1,Suburban,3,666191.61
2490.4,1,2,Hillcrest,19,631094.43
2171.6,2,3,Downtown,28,661693.27
2114.8,1,4,Hillcrest,56,607998.85
1810.3,1,3,Suburban,5,536302.03
2415.2,5,2,Old Town,34,686708.79
1774.2,1,3,Hillcrest,54,546423.41
2532.8,1,1,Suburban,48,558869.3
2742.6,5,1,Riverside,55,732407.94
2383.3,1,3,Downtown,10,671175.43
2056.9,5,4,Downtown,48,795501.08
2427.0,1,4,Old Town,58,533642.65
2045.7,1,3,Old Town,19,571213.7
2667.8,1,1,Downtown,29,569672.39
1284.3,4,4,Suburban,31,552664.38
2032.2,4,2,Downtown,29,723998.65
1204.6,3,2,Suburban,17,480973.66
1452.5,2,4,Suburban,58,478669.53
